
  1. setup                                          : etime=00:00:02.8    ctime=00:00:03.6    rss=150.473 Mbyte     virtual=143.914 Mbyte     
        1. setup solver                             : etime=00:00:02.6    ctime=00:00:08.5    rss=679.059 Mbyte     virtual=693.684 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=690.281 Mbyte     virtual=704.828 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.0    rss=714.023 Mbyte     virtual=733.613 Mbyte     

  5. Frequency 2.15443 kHz                          : etime=00:00:03.4    ctime=00:00:07.7    rss=715.098 Mbyte     virtual=734.668 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=714.023 Mbyte     virtual=733.613 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=714.023 Mbyte     virtual=733.613 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=714.023 Mbyte     virtual=733.613 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=714.023 Mbyte     virtual=733.613 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=714.023 Mbyte     virtual=733.613 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=714.023 Mbyte     virtual=733.613 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=714.023 Mbyte     virtual=733.613 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.4    rss=714.023 Mbyte     virtual=733.613 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=714.023 Mbyte     virtual=733.613 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.6    rss=715.098 Mbyte     virtual=734.668 Mbyte     

  6. Frequency 4.64159 kHz                          : etime=00:00:03.8    ctime=00:00:07.9    rss=715.785 Mbyte     virtual=735.398 Mbyte     
     1. constructing matrix                         : etime=00:00:01.9    ctime=00:00:01.8    rss=715.098 Mbyte     virtual=734.668 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.098 Mbyte     virtual=734.668 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.5    rss=715.098 Mbyte     virtual=734.668 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=715.098 Mbyte     virtual=734.668 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.098 Mbyte     virtual=734.668 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.098 Mbyte     virtual=734.668 Mbyte     
     4. solving linear system                       : etime=00:00:01.6    ctime=00:00:05.3    rss=715.098 Mbyte     virtual=734.668 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.2    rss=715.098 Mbyte     virtual=734.668 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=715.098 Mbyte     virtual=734.668 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.7    rss=715.785 Mbyte     virtual=735.398 Mbyte     

  7. Frequency 10 kHz                               : etime=00:00:03.7    ctime=00:00:08.2    rss=715.820 Mbyte     virtual=735.430 Mbyte     
     1. constructing matrix                         : etime=00:00:01.9    ctime=00:00:01.9    rss=715.785 Mbyte     virtual=735.398 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.785 Mbyte     virtual=735.398 Mbyte     
        2. 3d                                       : etime=00:00:01.6    ctime=00:00:01.6    rss=715.785 Mbyte     virtual=735.398 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.785 Mbyte     virtual=735.398 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.785 Mbyte     virtual=735.398 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.785 Mbyte     virtual=735.398 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.785 Mbyte     virtual=735.398 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=715.785 Mbyte     virtual=735.398 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=715.785 Mbyte     virtual=735.398 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=715.820 Mbyte     virtual=735.430 Mbyte     

  8. Frequency 21.5443 kHz                          : etime=00:00:03.7    ctime=00:00:08.0    rss=715.820 Mbyte     virtual=735.441 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=715.820 Mbyte     virtual=735.430 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.430 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.5    rss=715.820 Mbyte     virtual=735.430 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.820 Mbyte     virtual=735.430 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.430 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.430 Mbyte     
     4. solving linear system                       : etime=00:00:01.6    ctime=00:00:05.4    rss=715.820 Mbyte     virtual=735.430 Mbyte     
        1. setup solver                             : etime=00:00:01.3    ctime=00:00:04.4    rss=715.820 Mbyte     virtual=735.430 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.820 Mbyte     virtual=735.430 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=715.820 Mbyte     virtual=735.441 Mbyte     

  9. Frequency 46.4159 kHz                          : etime=00:00:03.8    ctime=00:00:08.5    rss=715.820 Mbyte     virtual=735.453 Mbyte     
     1. constructing matrix                         : etime=00:00:02.0    ctime=00:00:01.9    rss=715.820 Mbyte     virtual=735.441 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.441 Mbyte     
        2. 3d                                       : etime=00:00:01.7    ctime=00:00:01.6    rss=715.820 Mbyte     virtual=735.441 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.820 Mbyte     virtual=735.441 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.441 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.441 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.5    rss=715.820 Mbyte     virtual=735.441 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=715.820 Mbyte     virtual=735.441 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.820 Mbyte     virtual=735.441 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=715.820 Mbyte     virtual=735.453 Mbyte     

 10. Frequency 100 kHz                              : etime=00:00:03.7    ctime=00:00:08.3    rss=715.848 Mbyte     virtual=735.484 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=715.820 Mbyte     virtual=735.453 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.453 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.5    rss=715.820 Mbyte     virtual=735.453 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=715.820 Mbyte     virtual=735.453 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.453 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.820 Mbyte     virtual=735.453 Mbyte     
     4. solving linear system                       : etime=00:00:01.6    ctime=00:00:05.9    rss=715.820 Mbyte     virtual=735.453 Mbyte     
        1. setup solver                             : etime=00:00:01.3    ctime=00:00:04.8    rss=715.820 Mbyte     virtual=735.453 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=715.820 Mbyte     virtual=735.453 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.6    rss=715.848 Mbyte     virtual=735.484 Mbyte     

 11. Frequency 215.443 kHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=715.863 Mbyte     virtual=735.484 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=715.848 Mbyte     virtual=735.484 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.848 Mbyte     virtual=735.484 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.848 Mbyte     virtual=735.484 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.848 Mbyte     virtual=735.484 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.848 Mbyte     virtual=735.484 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.848 Mbyte     virtual=735.484 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.1    rss=715.848 Mbyte     virtual=735.484 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=715.848 Mbyte     virtual=735.484 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.848 Mbyte     virtual=735.484 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.484 Mbyte     

 12. Frequency 464.159 kHz                          : etime=00:00:03.5    ctime=00:00:08.1    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.9    rss=715.863 Mbyte     virtual=735.484 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.484 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.6    rss=715.863 Mbyte     virtual=735.484 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.863 Mbyte     virtual=735.484 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.484 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.484 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.863 Mbyte     virtual=735.484 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=715.863 Mbyte     virtual=735.484 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.484 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=715.863 Mbyte     virtual=735.492 Mbyte     

 13. Frequency 1 MHz                                : etime=00:00:03.6    ctime=00:00:08.3    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     1. constructing matrix                         : etime=00:00:01.9    ctime=00:00:01.8    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     

 14. Frequency 2.15443 MHz                          : etime=00:00:03.5    ctime=00:00:08.2    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     

 15. Frequency 4.64159 MHz                          : etime=00:00:03.5    ctime=00:00:08.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=715.863 Mbyte     virtual=735.492 Mbyte     

 16. Frequency 10 MHz                               : etime=00:00:03.6    ctime=00:00:08.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.5    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=715.863 Mbyte     virtual=735.492 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.863 Mbyte     virtual=735.492 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.1    rss=715.891 Mbyte     virtual=735.508 Mbyte     

 17. Frequency 21.5443 MHz                          : etime=00:00:03.6    ctime=00:00:08.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.7    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=715.891 Mbyte     virtual=735.508 Mbyte     

 18. Frequency 46.4159 MHz                          : etime=00:00:03.6    ctime=00:00:08.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. 3d                                       : etime=00:00:01.5    ctime=00:00:01.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.5    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.7    rss=715.891 Mbyte     virtual=735.508 Mbyte     

 19. Frequency 100 MHz                              : etime=00:00:03.4    ctime=00:00:07.9    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=715.891 Mbyte     virtual=735.508 Mbyte     

 20. Frequency 215.443 MHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=715.891 Mbyte     virtual=735.523 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.5    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.4    rss=715.891 Mbyte     virtual=735.508 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=715.891 Mbyte     virtual=735.508 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.6    rss=715.891 Mbyte     virtual=735.523 Mbyte     

 21. Frequency 300 MHz                              : etime=00:00:03.6    ctime=00:00:07.7    rss=715.891 Mbyte     virtual=735.551 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.8    rss=715.891 Mbyte     virtual=735.523 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.523 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=715.891 Mbyte     virtual=735.523 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=715.891 Mbyte     virtual=735.523 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.523 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=715.891 Mbyte     virtual=735.523 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.0    rss=715.891 Mbyte     virtual=735.523 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.1    rss=715.891 Mbyte     virtual=735.523 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=715.891 Mbyte     virtual=735.523 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=715.891 Mbyte     virtual=735.551 Mbyte     
