
  1. setup                                          : etime=00:00:02.7    ctime=00:00:03.5    rss=153.012 Mbyte     virtual=146.344 Mbyte     
  2. symbolic matrix setup                          : etime=00:00:00.5    ctime=00:00:00.7    rss=214.074 Mbyte     virtual=207.297 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss=214.074 Mbyte     virtual=207.297 Mbyte     

  4. Frequency 1 kHz                                : etime=00:00:04.8    ctime=00:00:11.6    rss=710.766 Mbyte     virtual=730.453 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=216.055 Mbyte     virtual=211.090 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=215.805 Mbyte     virtual=210.871 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=216.051 Mbyte     virtual=211.090 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=216.055 Mbyte     virtual=211.090 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=216.059 Mbyte     virtual=211.090 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=216.066 Mbyte     virtual=211.090 Mbyte     
     4. solving linear system                       : etime=00:00:02.9    ctime=00:00:09.2    rss=686.430 Mbyte     virtual=701.090 Mbyte     
        1. setup solver                             : etime=00:00:02.6    ctime=00:00:08.1    rss=675.313 Mbyte     virtual=690.102 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=686.406 Mbyte     virtual=701.090 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=710.766 Mbyte     virtual=730.453 Mbyte     

  5. Frequency 2.15443 kHz                          : etime=00:00:03.3    ctime=00:00:07.5    rss=710.902 Mbyte     virtual=730.547 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.766 Mbyte     virtual=730.453 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.766 Mbyte     virtual=730.453 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.766 Mbyte     virtual=730.453 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.766 Mbyte     virtual=730.453 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.766 Mbyte     virtual=730.453 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.766 Mbyte     virtual=730.453 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.1    rss=710.766 Mbyte     virtual=730.453 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.2    rss=710.766 Mbyte     virtual=730.453 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=710.766 Mbyte     virtual=730.453 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=710.902 Mbyte     virtual=730.547 Mbyte     

  6. Frequency 4.64159 kHz                          : etime=00:00:03.5    ctime=00:00:07.8    rss=710.938 Mbyte     virtual=730.547 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=710.902 Mbyte     virtual=730.547 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.902 Mbyte     virtual=730.547 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.902 Mbyte     virtual=730.547 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=710.902 Mbyte     virtual=730.547 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.902 Mbyte     virtual=730.547 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.902 Mbyte     virtual=730.547 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.1    rss=710.902 Mbyte     virtual=730.547 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.902 Mbyte     virtual=730.547 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=710.902 Mbyte     virtual=730.547 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=710.938 Mbyte     virtual=730.547 Mbyte     

  7. Frequency 10 kHz                               : etime=00:00:03.4    ctime=00:00:07.8    rss=710.938 Mbyte     virtual=730.555 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.547 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.547 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.547 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.547 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.547 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.547 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.2    rss=710.938 Mbyte     virtual=730.547 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=710.938 Mbyte     virtual=730.547 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.547 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.0    rss=710.938 Mbyte     virtual=730.555 Mbyte     

  8. Frequency 21.5443 kHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=710.938 Mbyte     virtual=730.559 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.555 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.555 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.555 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.555 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.555 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.555 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.2    rss=710.938 Mbyte     virtual=730.555 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.2    rss=710.938 Mbyte     virtual=730.555 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.938 Mbyte     virtual=730.555 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.0    rss=710.938 Mbyte     virtual=730.559 Mbyte     

  9. Frequency 46.4159 kHz                          : etime=00:00:03.4    ctime=00:00:07.7    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=710.938 Mbyte     virtual=730.559 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.559 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.559 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=710.938 Mbyte     virtual=730.559 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.559 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.559 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.0    rss=710.938 Mbyte     virtual=730.559 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=710.938 Mbyte     virtual=730.559 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=710.938 Mbyte     virtual=730.559 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=710.938 Mbyte     virtual=730.578 Mbyte     

 10. Frequency 100 kHz                              : etime=00:00:03.4    ctime=00:00:07.9    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.2    rss=710.938 Mbyte     virtual=730.578 Mbyte     

 11. Frequency 215.443 kHz                          : etime=00:00:03.4    ctime=00:00:08.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.1    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.578 Mbyte     

 12. Frequency 464.159 kHz                          : etime=00:00:03.4    ctime=00:00:07.8    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.938 Mbyte     virtual=730.578 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.582 Mbyte     

 13. Frequency 1 MHz                                : etime=00:00:03.4    ctime=00:00:07.8    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.582 Mbyte     

 14. Frequency 2.15443 MHz                          : etime=00:00:03.4    ctime=00:00:07.8    rss=710.977 Mbyte     virtual=730.582 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.0    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:03.9    rss=710.938 Mbyte     virtual=730.582 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=710.938 Mbyte     virtual=730.582 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.1    rss=710.977 Mbyte     virtual=730.582 Mbyte     

 15. Frequency 4.64159 MHz                          : etime=00:00:03.3    ctime=00:00:07.4    rss=710.984 Mbyte     virtual=730.598 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.977 Mbyte     virtual=730.582 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.977 Mbyte     virtual=730.582 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.977 Mbyte     virtual=730.582 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.977 Mbyte     virtual=730.582 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.977 Mbyte     virtual=730.582 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.977 Mbyte     virtual=730.582 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:04.9    rss=710.977 Mbyte     virtual=730.582 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.977 Mbyte     virtual=730.582 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=710.977 Mbyte     virtual=730.582 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=710.984 Mbyte     virtual=730.598 Mbyte     

 16. Frequency 10 MHz                               : etime=00:00:03.4    ctime=00:00:07.5    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.598 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.598 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.598 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.598 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.598 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.598 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:04.9    rss=710.984 Mbyte     virtual=730.598 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.984 Mbyte     virtual=730.598 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.598 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 17. Frequency 21.5443 MHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 18. Frequency 46.4159 MHz                          : etime=00:00:03.4    ctime=00:00:07.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 19. Frequency 100 MHz                              : etime=00:00:03.4    ctime=00:00:07.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.2    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 20. Frequency 215.443 MHz                          : etime=00:00:03.5    ctime=00:00:08.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.5    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     5. writing fields                              : etime=00:00:00.4    ctime=00:00:01.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 21. Frequency 300 MHz                              : etime=00:00:03.4    ctime=00:00:07.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:04.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:03.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.2    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 22. Frequency 257.722 MHz                          : etime=00:00:03.1    ctime=00:00:06.5    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
