
  1. setup                                          : etime=00:00:02.8    ctime=00:00:03.6    rss=151.527 Mbyte     virtual=144.828 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.184 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=728.988 Mbyte     virtual=749.184 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.988 Mbyte     virtual=749.184 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.184 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.184 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=728.988 Mbyte     virtual=749.184 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=728.988 Mbyte     virtual=749.184 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=728.988 Mbyte     virtual=749.184 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.7    rss=728.988 Mbyte     virtual=749.211 Mbyte     

  7. Frequency 10 kHz                               : etime=00:00:03.4    ctime=00:00:07.8    rss=728.996 Mbyte     virtual=749.211 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=728.988 Mbyte     virtual=749.211 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.211 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=728.988 Mbyte     virtual=749.211 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.988 Mbyte     virtual=749.211 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.211 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.988 Mbyte     virtual=749.211 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=728.988 Mbyte     virtual=749.211 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=728.988 Mbyte     virtual=749.211 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=728.988 Mbyte     virtual=749.211 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.6    rss=728.996 Mbyte     virtual=749.211 Mbyte     

  8. Frequency 21.5443 kHz                          : etime=00:00:03.6    ctime=00:00:08.1    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.8    rss=728.996 Mbyte     virtual=749.211 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.211 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=728.996 Mbyte     virtual=749.211 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.996 Mbyte     virtual=749.211 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.211 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.211 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.5    rss=728.996 Mbyte     virtual=749.211 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=728.996 Mbyte     virtual=749.211 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=728.996 Mbyte     virtual=749.211 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=728.996 Mbyte     virtual=749.215 Mbyte     

  9. Frequency 46.4159 kHz                          : etime=00:00:03.4    ctime=00:00:07.9    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.1    rss=728.996 Mbyte     virtual=749.215 Mbyte     

 10. Frequency 100 kHz                              : etime=00:00:03.4    ctime=00:00:08.1    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.3    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=728.996 Mbyte     virtual=749.215 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=728.996 Mbyte     virtual=749.215 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     

 11. Frequency 215.443 kHz                          : etime=00:00:03.5    ctime=00:00:08.3    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.8    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.5    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.5    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=729.035 Mbyte     virtual=749.215 Mbyte     

 12. Frequency 464.159 kHz                          : etime=00:00:03.5    ctime=00:00:07.8    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.3    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.3    rss=729.035 Mbyte     virtual=749.215 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.035 Mbyte     virtual=749.215 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=729.035 Mbyte     virtual=749.223 Mbyte     

 13. Frequency 1 MHz                                : etime=00:00:03.5    ctime=00:00:08.1    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        3. 2d                                       : etime=00:00:00.4    ctime=00:00:00.4    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.5    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.6    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:01.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=729.035 Mbyte     virtual=749.223 Mbyte     

 14. Frequency 2.15443 MHz                          : etime=00:00:03.5    ctime=00:00:08.4    rss=729.094 Mbyte     virtual=749.250 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.9    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.6    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.5    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=729.035 Mbyte     virtual=749.223 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.035 Mbyte     virtual=749.223 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=729.094 Mbyte     virtual=749.250 Mbyte     

 15. Frequency 4.64159 MHz                          : etime=00:00:03.5    ctime=00:00:08.1    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.094 Mbyte     virtual=749.250 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.250 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.094 Mbyte     virtual=749.250 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.250 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.250 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.250 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.5    rss=729.094 Mbyte     virtual=749.250 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=729.094 Mbyte     virtual=749.250 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.094 Mbyte     virtual=749.250 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 16. Frequency 10 MHz                               : etime=00:00:03.5    ctime=00:00:07.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.8    ctime=00:00:01.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 17. Frequency 21.5443 MHz                          : etime=00:00:03.4    ctime=00:00:08.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.3    ctime=00:00:01.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.6    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.5    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 18. Frequency 46.4159 MHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 19. Frequency 100 MHz                              : etime=00:00:03.4    ctime=00:00:08.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.6    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.3    ctime=00:00:01.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.6    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.6    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:00.9    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 20. Frequency 215.443 MHz                          : etime=00:00:03.6    ctime=00:00:08.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.5    ctime=00:00:05.7    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.6    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=729.094 Mbyte     virtual=749.281 Mbyte     

 21. Frequency 300 MHz                              : etime=00:00:03.5    ctime=00:00:08.1    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.8    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.5    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     4. solving linear system                       : etime=00:00:01.4    ctime=00:00:05.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        1. setup solver                             : etime=00:00:01.2    ctime=00:00:04.4    rss=729.094 Mbyte     virtual=749.281 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:01.0    rss=729.094 Mbyte     virtual=749.281 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.9    rss=729.094 Mbyte     virtual=749.281 Mbyte     
